Java HotSpot(TM) 64-Bit Server VM (25.161-b12) for windows-amd64 JRE (1.8.0_161-b12), built on Dec 19 2017 17:52:25 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 6272880k(2144552k free), swap 12543884k(7082232k free)
CommandLine flags: -XX:GCLogFileSize=1048576 -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=268435456 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelOldGC 
2018-03-10T15:20:38.045+0300: 1.659: [GC (Allocation Failure) [PSYoungGen: 65536K->10744K(76288K)] 65536K->24681K(251392K), 0.0841861 secs] [Times: user=0.06 sys=0.00, real=0.09 secs] 
2018-03-10T15:21:03.969+0300: 27.584: [Full GC (Ergonomics) [PSYoungGen: 29696K->29695K(58368K)] [ParOldGen: 175066K->174927K(175104K)] 204762K->204623K(233472K), [Metaspace: 9148K->9148K(1058816K)], 0.0229158 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2018-03-10T15:21:03.993+0300: 27.607: [Full GC (Ergonomics) [PSYoungGen: 29696K->29695K(58368K)] [ParOldGen: 175098K->175016K(175104K)] 204794K->204712K(233472K), [Metaspace: 9148K->9148K(1058816K)], 0.0238635 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2018-03-10T15:21:04.017+0300: 27.631: [Full GC (Ergonomics) [PSYoungGen: 29696K->29695K(58368K)] [ParOldGen: 175099K->175055K(175104K)] 204795K->204750K(233472K), [Metaspace: 9148K->9148K(1058816K)], 0.0229675 secs] [Times: user=0.12 sys=0.00, real=0.02 secs] 
2018-03-10T15:21:04.040+0300: 27.654: [Full GC (Ergonomics) [PSYoungGen: 29695K->29695K(58368K)] [ParOldGen: 175061K->175061K(175104K)] 204757K->204757K(233472K), [Metaspace: 9148K->9148K(1058816K)], 0.0231496 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2018-03-10T15:21:04.063+0300: 27.677: [Full GC (Ergonomics) [PSYoungGen: 29696K->29695K(58368K)] [ParOldGen: 175099K->175080K(175104K)] 204795K->204776K(233472K), [Metaspace: 9148K->9148K(1058816K)], 0.0232959 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2018-03-10T15:21:04.087+0300: 27.701: [Full GC (Ergonomics) [PSYoungGen: 29695K->29695K(58368K)] [ParOldGen: 175099K->175086K(175104K)] 204795K->204782K(233472K), [Metaspace: 9148K->9148K(1058816K)], 0.0245275 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2018-03-10T15:21:04.112+0300: 27.726: [Full GC (Ergonomics) [PSYoungGen: 29695K->29695K(58368K)] [ParOldGen: 175099K->175093K(175104K)] 204795K->204789K(233472K), [Metaspace: 9148K->9148K(1058816K)], 0.0243151 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2018-03-10T15:21:04.136+0300: 27.750: [Full GC (Ergonomics) [PSYoungGen: 29695K->29695K(58368K)] [ParOldGen: 175099K->175099K(175104K)] 204795K->204795K(233472K), [Metaspace: 9148K->9148K(1058816K)], 0.0239889 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2018-03-10T15:21:04.160+0300: 27.774: [Full GC (Allocation Failure) [PSYoungGen: 29695K->29695K(58368K)] [ParOldGen: 175099K->175099K(175104K)] 204795K->204795K(233472K), [Metaspace: 9148K->9148K(1058816K)], 0.0251272 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2018-03-10T15:21:04.186+0300: 27.800: [Full GC (Ergonomics) [PSYoungGen: 29695K->29695K(58368K)] [ParOldGen: 175101K->175094K(175104K)] 204797K->204790K(233472K), [Metaspace: 9150K->9150K(1058816K)], 0.0257350 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
